Date,Description,Amount,
05/30/2018,Citgo,$35,#VALUE!
05/30/2018,Salon,$180,
05/30/2018,Yellow Cab,$78,
05/30/2018,American Airlines,$520,
05/30/2018,BigLots,$30.00,
05/30/2018,Costco,$20,
05/30/2018,GameStop,$50.00,
05/30/2018,Amazon.com,$67.00,
05/30/2018,Dollar Tree,$16.03,
05/30/2018,Buc-ees,$5.00,
05/30/2018,Party City,$20,
05/27/2018,McDonalds,$12.88,
05/27/2018,Goodwill,$800.00,
05/27/2018,BurgerKing,$52.00,
05/27/2018,Dominos Pizza,$50,
05/26/2018,BestBuy,$35.00,
05/25/2018,Barnes&Noble,$56.00,
05/22/2018,Wendys,$17.00,
05/22/2018,Dollar General,$4.05,
05/21/2018,Walmart ,$110.00,
05/21/2018,Starbucks,$3.05,
05/21/2018,Citgo,$36,
05/20/2018,McDonalds,$12,
05/20/2018,Walmart ,$7.03,
05/20/2018,H&M,$88,
05/20/2018,Buc-ees,$16,
05/20/2018,TheHomeDepot,$100,
05/19/2018,Cash Withdrawal,$200,
05/19/2018,Starbucks,$20,
05/19/2018,Subway,$15,
05/18/2018,Chick-fil-A,$42,
05/18/2018,Exxon,$38,
05/18/2018,BurlingtonStores,$102,
05/17/2018,Aldi,$318,
05/17/2018,BedBath&Beyond,$5,
05/16/2018,Mobil,$25,
05/15/2018,ChipotleMexicanGrill,$76,
05/15/2018,Hibachi,$46,
05/14/2018,GameStop,$50,
05/13/2018,Chevron,$38,
05/13/2018,Starbucks,$26,
05/12/2018,Nordstrom,$186,
05/12/2018,OfficeDepot,$57,
05/12/2018,Liberty Auto insurance,$116,
05/12/2018,Walmart ,$289,
05/12/2018,Salon,$30,
05/12/2018,Dominos Pizza,$48,
05/12/2018,Darden Restaurants,$23,
05/12/2018,McDonalds,$11.56,
05/12/2018,Wendys,$10.02,
05/10/2018,Amazon.com,$16.2,
05/10/2018,GameStop,$50,
05/09/2018,Macys,$32.18,
05/09/2018,Staples,$15,
05/09/2018,Costco,$50,
05/08/2018,WholeFoodsMarket,$50,
05/06/2018,PaneraBreadCompany,$28,
05/06/2018,Citgo,$35,
05/06/2018,Walmart ,$50,
05/06/2018,City Water-Sewer,$108,
05/05/2018,Darden Restaurants,$50,
05/05/2018,Chrysler Capital,$304.8,
05/05/2018,Electricity,$117,
05/05/2018,AT&TWireless,$120,
05/01/2018,CitiMortgage,$1900,
