Date,Description,Amount
,May,
05/30/18,Citgo,$35
05/30/18,Salon,$180
05/30/18,Yellow Cab,$78
05/30/18,American Airlines,$520
05/30/18,BigLots,$30.00
05/30/18,Costco,$20
05/30/18,GameStop,$50.00
05/30/18,Amazon.com,$67.00
05/30/18,Dollar Tree,$16.03
05/30/18,Buc-ees,$5.00
05/28/18,Party City,$20
05/27/18,McDonalds,$12.88
05/27/18,Goodwill,$800.00
05/27/18,BurgerKing,$52.00
05/27/18,Dominos Pizza,$50
05/27/18,BestBuy,$35.00
05/26/18,Barnes&Noble,$56.00
05/25/18,Wendys,$17.00
05/22/18,Dollar General,$4.05
05/22/18,Walmart ,$110.00
05/21/18,Starbucks,$3.05
05/21/18,Citgo,$36
05/21/18,McDonalds,$12
05/20/18,Walmart ,$7.03
05/20/18,H&M,$88
05/20/18,Buc-ees,$16
05/20/18,TheHomeDepot,$100
05/20/18,Cash Withdrawal,$200
05/19/18,Starbucks,$20
05/19/18,Subway,$15
05/19/18,Chick-fil-A,$42
05/18/18,Exxon,$38
05/18/18,BurlingtonStores,$102
05/18/18,Aldi,$318
05/17/18,BedBath&Beyond,$5
05/17/18,Mobil,$25
05/16/18,ChipotleMexicanGrill,$76
05/15/18,Hibachi,$46
05/15/18,GameStop,$50
05/14/18,Chevron,$38
05/13/18,Starbucks,$26
05/13/18,Nordstrom,$186
05/12/18,OfficeDepot,$57
05/12/18,Liberty Auto insurance,$116
05/12/18,Walmart ,$289
05/12/18,Salon,$30
05/12/18,Dominos Pizza,$48
05/12/18,Darden Restaurants,$23
05/12/18,McDonalds,$11.56
05/12/18,Wendys,$10.02
05/12/18,Amazon.com,$16.2
05/10/18,GameStop,$50
05/10/18,Macys,$32.18
05/09/18,Staples,$15
05/09/18,Costco,$50
05/09/18,WholeFoodsMarket,$50
05/08/18,PaneraBreadCompany,$28
05/06/18,Citgo,$35
05/06/18,Walmart ,$50
05/06/18,City Water-Sewer,$108
05/06/18,Darden Restaurants,$50
05/05/18,Chrysler Capital,$304.8
05/05/18,Electricity,$117
05/05/18,AT&TWireless,$120
05/05/18,CitiMortgage,$1900
,April,
04/29/18,Citgo,$35
04/29/18,Salon,$180
04/29/18,Yellow Cab,$78
04/29/18,American Airlines,$520
04/29/18,BigLots,$30.00
04/29/18,Costco,$200
04/29/18,GameStop,$50.00
04/29/18,Amazon.com,$67.00
04/29/18,Dollar Tree,$16.03
04/29/18,Buc-ees,$5.00
04/27/18,Party City,$20
04/26/18,McDonalds,$12.88
04/26/18,Goodwill,$800.00
04/26/18,BurgerKing,$52.00
04/26/18,Dominos Pizza,$50
04/26/18,BestBuy,$35.00
04/25/18,Barnes&Noble,$56.00
04/24/18,Wendys,$17.00
04/21/18,Dollar General,$4.05
04/21/18,Walmart ,$110.00
04/20/18,Starbucks,$3.05
04/20/18,Citgo,$36
04/20/18,McDonalds,$12
04/19/18,Walmart ,$7.03
04/19/18,H&M,$88
