Mortgage-Rent,Groceries-Shopping,Transportation,Gas,Health,Restaurant-Dinning,Entertainment,Utilities,Donations,Travel,Insurance,Miscellaneous
"Brokers, Banks & Lenders",AcademyLtd.,Ally Bank,Aloha Petroleum,Hospital/Emergency Room,BurgerKing,Golf,Electricity,Offerings,American Airlines,Liberty Auto insurance,Cash Withdrawal
American Equity Mortgage,AceHardware,Wells Fargo,American Gas,Pediatrician,Chick-fil-A,Club,Cellphone ,Goodwill,Hotel,,
Amerisave Mortgage Corporation,AdvanceAutoParts,Chase,Amoco,Obstetrician,ChipotleMexicanGrill,Pool,City waste,Salvation Army,Motel,,
ASC - America's Servicing Company,AholdUSA/RoyalAhold,Capital One,ARCO,Clinic,Darden Restaurants,Amusement Park,City Water-Sewer,Charity,Suites,,
Capital One,Albertsons,Toyota,BP,Nursing Home,Dominos Pizza,,VerizonWireless,Tithe,Lodge,,
CapWest Mortgage,Aldi,Ford,Buc-ees,Assisted Living,Jack in the Box,,Wireless,,Inn,,
Chase,AlimentationCouche-Tard,Nissan Infiniti,Byrne Dairy,Veterinary ,McDonalds,,,,Airways,,
CitiMortgage,Amazon.com,Santander,Casey's General Stores,Lab,Sonic,,,,Cruise,,
Citizens Bank,AppleStores/iTunes,Honda,CENEX,,Starbucks,,,,South Airlines,,
ditech,Army/AirForceExchange,Bank of America,Chevron,,PaneraBreadCompany,,,,Jet Blue,,
Fannie Mae,AscenaRetailGroup,Chrysler Capital,Circle K,,Subway,,,,,,
Freddie Mac,AT&TWireless,TD Auto,Citgo,,Wendys,,,,,,
Freedom Mortgage,AutoZone,Credit Acceptance,Clark Brands,,Hibachi,,,,,,
GMAC Mortgage,AVBBrandsource,Carmax,Conoco,,Chinese Buffett,,,,,,
Green Tree Mortgage,Barnes&Noble,US Bank,Cumberland Farms,,Sushi bar,,,,,,
Greenlight Financial,BedBath&Beyond,GMF Americredit,"Delta Sonic - Buffalo, New York",,,,,,,,
HawaiiUSA Federal Credit Union,Belk,USAA FSB,Frontier,,,,,,,,
HSBC Bank USA,BestBuy,Huntington,Flying J,,,,,,,,
ING Direct,BigLots,Kia Motor Finco,GasAmerica,,,,,,,,
Navy Federal Credit Union,Bi-Lo,PNC Bank,"Gas City, Ltd.",,,,,,,,
NewDay Financial,BJ’sWholesaleClub,Uber,GasTrac,,,,,,,,
Pacific Service Credit Union,BurlingtonStores,Yellow Cab,Getty,,,,,,,,
PHH Mortgage,Costco,,Go-Mart,,,,,,,,
PNC (National City),CVSHealth,,Gulf,,,,,,,,
Quicken Loans,DefenseCommiss.Agency,,Hess,,,,,,,,
Sun Trust Mortgage,DelhaizeAmerica,,High's Dairy Stores,,,,,,,,
SurePoint Lending,Dick’sSportingGoods,,Holiday,,,,,,,,
TD Bank,Dillards,,Irving Oil,,,,,,,,
USAA,DineEquity,,King Soopers,,,,,,,,
Wachovia,Dollar General,,Kroger brand gasoline,,,,,,,,
Wells Fargo,Dollar Tree,,Kum & Go,,,,,,,,
"American Advisors Group, Inc.",Dunkin BrandsGroup,,Kwik Trip,,,,,,,,
,Exxon MobilCorp.,,Kwik Fill,,,,,,,,
,FootLocker,,Lassus Handy Dandy,,,,,,,,
,GameStop,,Love's,,,,,,,,
,Gap,,Lukoil,,,,,,,,
,GiantEagle,,Marathon Oil,,,,,,,,
,GoodNeighbor Pharmacy,,Maverik,,,,,,,,
,H&M,,Meijer,,,,,,,,
,HealthMartSystems,,Mirabito,,,,,,,,
,HudsonsBay SaksFifthAvenue,,Murphy USA,,,,,,,,
,Hy-Vee,,Petro Canada,,,,,,,,
,IkeaNorthAmericaSvcs.,,Phillips 66,,,,,,,,
,J.C.PenneyCo.,,Pilot,,,,,,,,
,LBrands,,QuickChek,,,,,,,,
,Lowe’s Companies,,QuikTrip,,,,,,,,
,Menard,,RaceTrac/Raceway,,,,,,,,
,MichaelsStores,,Royal Farms,,,,,,,,
,Neiman Marcus,,Rutter's Farm Stores,,,,,,,,
,Nordstrom,,7-Eleven brand gasoline,,,,,,,,
,O’Reilly Automotive,,76,,,,,,,,
,OfficeDepot,,Sam's Club,,,,,,,,
,PetSmart,,Safeway,,,,,,,,
,PublixSuperMarkets,,Sheetz,,,,,,,,
,QVC,,Shell,,,,,,,,
,RiteAid,,Sinclair,,,,,,,,
,Ross Stores,,Speedway,,,,,,,,
,Roundy’sSupermarkets,,Spinx,,,,,,,,
,SaveMartSupermarkets,,Stewart's Shops,,,,,,,,
,SearsHoldings,,Sunoco,,,,,,,,
,Sherwin-Williams,,Tesoro,,,,,,,,
,SignetJewelers,,Texaco,,,,,,,,
,Staples,,Thorntons Inc.,,,,,,,,
,StaterBros.Holdings,,Travelcenters of America,,,,,,,,
,SUPERVALU,,Valero,,,,,,,,
,Target,,Wawa,,,,,,,,
,TheHomeDepot,,,,,,,,,,
,TheKrogerCo.,,,,,,,,,,
,TJX,,,,,,,,,,
,"Toys""R""Us",,,,,,,,,,
,TractorSupplyCo.,,,,,,,,,,
,TrueValueCo.,,,,,,,,,,
,Wakefern/ShopRite,,,,,,,,,,
,WalgreensBootsAlliance,,,,,,,,,,
,WalMart ,,,,,,,,,,
,WegmansFoodMarket,,,,,,,,,,
,WholeFoodsMarket,,,,,,,,,,
,Williams-Sonoma,,,,,,,,,,
,WinCoFoods,,,,,,,,,,
,YUM!Brands,,,,,,,,,,
,Salon,,,,,,,,,,
,Party City,,,,,,,,,,
,Buc-cees,,,,,,,,,,
,Macys,,,,,,,,,,
,kohls,,,,,,,,,,
