"Date	Description	Amount								"
"07/14/18	Citgo	12								"
"07/14/18	Salon	104								"
"07/14/18	Yellow Cab	89								"
"07/14/18	American Airlines	362								"
"07/14/18	BigLots	35								"
"07/14/18	Costco	161								"
"07/14/18	Golf	108								"
"07/14/18	Amazon.com	56.17								"
"07/14/18	Dollar Tree	9								"
"07/14/18	Valero	44								"
"07/12/2018	Marshalls	246								"
"07/11/2018	McDonalds	12.88								"
"07/11/2018	Goodwill	596								"
"07/11/2018	BurgerKing	23								"
"07/11/2018	Dominos Pizza	29								"
"07/11/2018	BestBuy	50								"
"07/10/2018	H&M	101								"
"07/09/2018	Wendys	38								"
"07/06/2018	Dollar General	17								"
"07/06/2018	Walmart 	188								"
"07/05/2018	Starbucks	110.87								"
"07/05/2018	Citgo	16								"
"07/05/2018	McDonalds	36.87								"
"07/04/2018	Walmart 	382								"
"07/04/2018	H&M	297								"
"07/04/2018	Buc-ees	45								"
"07/04/2018	TheHomeDepot	31								"
"07/04/2018	Cash Withdrawal	120								"
"07/03/2018	Starbucks	200								"
"07/03/2018	Subway	15								"
"07/03/2018	Chick-fil-A	6								"
"07/02/2018	Exxon	40								"
"07/02/2018	BurlingtonStores	25								"
"07/02/2018	Aldi	102								"
"07/01/2018	Staples	16								"
"07/01/2018	Mobil	139								"
"06/30/18	ChipotleMexicanGrill	35								"
"06/29/18	Hibachi	74								"
"06/29/18	GameStop	143								"
"06/28/18	Chevron	23								"
"06/27/18	Starbucks	26								"
"06/27/18	Michael Kors	451								"
"06/26/18	OfficeDepot	37								"
"06/26/18	Liberty Auto insurance	116								"
"06/26/18	Walmart 	238								"
"06/26/18	Nail Salon	127								"
"06/26/18	Dominos Pizza	26								"
"06/26/18	Darden Restaurants	20								"
"06/26/18	McDonalds	11.56								"
"06/26/18	Wendys	32								"
"06/26/18	Amazon.com	54.89								"
"06/24/18	GameStop	106								"
"06/24/18	Macys	237								"
"06/23/18	Staples	31								"
"06/23/18	Costco	134								"
"06/23/18	WholeFoodsMarket	579								"
"06/22/18	PaneraBreadCompany	14								"
"06/20/18	HEB Gasoline	24								"
"06/20/18	Walmart 	389								"
"06/20/18	City Water-Sewer	122								"
"06/20/18	Darden Restaurants	14								"
"06/19/18	Chrysler Capital	304.8								"
"06/19/18	Electricity	127								"
"06/19/18	AT&TWireless	120								"
"06/19/18	CitiMortgage	1900								"
"06/13/18	BP	40.63								"
"06/13/18	Nail spa	70								"
"06/13/18	Salon	94								"
"06/13/18	Uber	50.58								"
"06/13/18	PaneraBreadCompany	17								"
"06/13/18	Costco	29								"
"06/13/18	Club	132								"
"06/13/18	Amazon.com	74.32								"
"06/13/18	Dollar Tree	30								"
"06/13/18	Buc-ees	5								"
"06/11/2018	Party City	98								"
"06/10/2018	McDonalds	12.88								"
"06/10/2018	Salvation Army	85								"
"06/10/2018	BurgerKing	21								"
"06/10/2018	McDonalds	35								"
"06/10/2018	Office Max	32								"
"06/09/2018	GAP	36.25								"
"06/08/2018	Wendys	54								"
"06/05/2018	Tommy Hilfiger	35								"
"06/05/2018	AppleStores/iTunes	236								"
"06/04/2018	Starbucks	3.05								"
"06/04/2018	Citgo	12								"
"06/04/2018	McDonalds	12								"
"06/03/2018	Walmart 	377								"
"06/03/2018	Polo	151								"
"06/03/2018	Speedway	16								"
"06/03/2018	Menard	32								"
"06/03/2018	Cash Withdrawal	320								"
"06/02/2018	Starbucks	5								"
"06/02/2018	Subway	21								"
"06/02/2018	Sonic	32								"
"06/01/2018	Exxon	11								"
"06/01/2018	H&M	205								"
"06/01/2018	Aldi	50.38								"
"05/31/18	Bed Bath & Beyond	56								"
"05/31/18	Mobil	93								"
"05/30/18	Food Truck	26								"
"05/29/18	Olive Garden	110								"
"05/29/18	Dart Bowl	101								"
"05/28/18	Texaco	50								"
"05/27/18	Starbucks	26								"
"05/27/18	Nordstrom	186								"
"05/26/18	OfficeDepot	16								"
"05/26/18	Liberty Auto insurance	116								"
"05/26/18	Walmart 	141								"
"05/26/18	Salon	88								"
"05/26/18	Dominos Pizza	34								"
"05/26/18	Chillis	18								"
"05/26/18	McDonalds	11.56								"
"05/26/18	Wendys	57								"
"05/26/18	Amazon.com	200								"
"05/24/18	GameStop	139								"
"05/24/18	Macys	102								"
"05/23/18	Staples	10								"
"05/23/18	Costco	161								"
"05/23/18	WholeFoodsMarket	447								"
"05/22/18	PaneraBreadCompany	23								"
"05/20/18	Citgo	51								"
"05/20/18	Walmart 	189								"
"05/20/18	City Water-Sewer	44								"
"05/20/18	Apple Bees	42								"
"05/19/18	Chrysler Capital	304.8								"
"05/19/18	Electricity	278								"
"05/19/18	AT&TWireless	120								"
"05/17/18	CitiMortgage	1900								"
"05/13/18	ARCO	47.61								"
"05/13/18	Salon	118								"
"05/13/18	uber	39								"
"05/13/18	American Airlines	780								"
"05/13/18	BigLots	36								"
"05/13/18	Costco	118								"
"05/13/18	GameStop	136								"
"05/13/18	Amazon.com	250								"
"05/13/18	Dollar Tree	25								"
"05/13/18	Buc-ees	5								"
"05/11/2018	Party City	208								"
"05/10/2018	McDonalds	12.88								"
"05/10/2018	Goodwill	132								"
"05/10/2018	Subway	13								"
"05/10/2018	Dominos Pizza	27								"
"05/10/2018	BestBuy	15								"
"05/09/2018	Barnes&Noble	89.36								"
"05/08/2018	Wendys	31								"
"05/05/2018	Dollar General	31								"
"05/05/2018	Walmart 	88								"
"05/04/2018	Starbucks	3.05								"
"05/04/2018	Citgo	35								"
"05/04/2018	McDonalds	12								"
"05/03/2018	Walmart 	333								"
"05/03/2018	Old Navy	148								"
"05/03/2018	Valero	45								"
"05/03/2018	TheHomeDepot	13								"
"05/02/2018	Starbucks	20								"
"05/02/2018	Subway	33								"
"05/02/2018	Starbucks	31								"
"05/01/2018	Exxon	36								"
"05/01/2018	BurlingtonStores	85								"
"05/01/2018	Aldi	63.25								"
"04/30/18	Home Depot	23								"
"04/30/18	Mobil	50								"
"04/29/18	ChipotleMexicanGrill	41								"
"04/28/18	Hibachi	27								"
"04/28/18	Golf	136								"
"04/27/18	Valero	29								"
"04/26/18	Starbucks	26								"
"04/26/18	New York & Company	186								"
"04/25/18	OfficeDepot	12								"
"04/25/18	Liberty Auto insurance	116								"
"04/25/18	Walmart 	427								"
"04/25/18	Nail Salon	62								"
"04/25/18	Chinese Buffett	18								"
"04/25/18	Darden Restaurants	46								"
"04/25/18	McDonalds	11.56								"
"04/25/18	Wendys	19								"
"04/25/18	Amazon.com	375								"
"04/23/18	GameStop	61								"
"04/23/18	Macys	260								"
"04/22/18	Staples	23								"
"04/22/18	Costco	111								"
"04/22/18	WholeFoodsMarket	367								"
"04/21/18	PaneraBreadCompany	18								"
"04/19/18	HEB Gasoline	26								"
"04/19/18	Walmart 	410								"
"04/19/18	City Water-Sewer	109								"
"04/19/18	Chillis	33								"
"04/18/18	Chrysler Capital	304.8								"
"04/18/18	Electricity	188								"
"04/18/18	AT&TWireless	120								"
"04/18/18	CitiMortgage	1900								"
